VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,date,DATE,PRCP,TMIN,TMAX
2,2/6/16 8:38,2/6/16 8:55,1,4.3,-73.98522949,40.75127029,1,-73.98960876,40.71916962,2,16.5,0,0.5,0,0,17.3,2/6/16,2/6/16 0:00,0,30,40
1,3/14/16 12:34,3/14/16 12:47,1,1.5,-73.96105194,40.78046417,1,-73.97806549,40.76656342,1,10,0,0.5,3.2,0,14,3/14/16,3/14/16 0:00,0.29,40,51
2,3/14/16 13:18,3/14/16 13:32,2,1.16,-73.97750854,40.76076889,1,-73.99004364,40.75169754,1,10,0,0.5,2.16,0,12.96,3/14/16,3/14/16 0:00,0.29,40,51
2,2/2/16 23:57,2/3/16 0:00,1,0.94,-73.99338531,40.7472229,1,-74.0007019,40.73579025,2,5,0.5,0.5,0,0,6.3,2/2/16,2/2/16 0:00,0,38,50
1,1/4/16 21:45,1/4/16 21:49,1,1,-73.91993713,40.76585388,1,-73.90908051,40.76675797,1,5,0.5,0.5,0,0,6.3,1/4/16,1/4/16 0:00,0,14,36
1,3/14/16 8:36,3/14/16 8:43,2,0.9,-73.96431732,40.75656128,1,-73.96289825,40.76645279,1,6.5,0,0.5,1.45,0,8.75,3/14/16,3/14/16 0:00,0.29,40,51
1,1/9/16 2:19,1/9/16 2:26,1,1.6,-74.00550079,40.74200821,1,-73.98451996,40.73702621,1,7,0.5,0.5,2.45,0,10.75,1/9/16,1/9/16 0:00,0,40,47
1,1/16/16 0:51,1/16/16 1:00,1,1.9,-73.99145508,40.7269783,1,-73.97351837,40.74810028,1,8.5,0.5,0.5,1.96,0,11.76,1/16/16,1/16/16 0:00,0.24,42,52
1,2/2/16 6:40,2/2/16 6:46,1,2,-73.99358368,40.74179077,1,-73.97788239,40.76691055,1,8,0,0.5,1.75,0,10.55,2/2/16,2/2/16 0:00,0,38,50
2,2/4/16 12:34,2/4/16 12:37,1,1,-73.96802521,40.76813126,1,-73.9591217,40.78047943,1,5.5,0,0.5,1.26,0,7.56,2/4/16,2/4/16 0:00,0,44,59
1,3/15/16 7:01,3/15/16 7:07,1,1.1,-73.96947479,40.7605896,1,-73.95640564,40.7679863,2,6,0,0.5,0,0,6.8,3/15/16,3/15/16 0:00,0,44,57
2,3/2/16 22:16,3/2/16 22:31,1,7.32,-73.98647308,40.75841141,1,-73.94583893,40.82938004,1,22,0.5,0.5,1,0,24.3,3/2/16,3/2/16 0:00,0.14,29,55
2,2/1/16 19:00,2/1/16 19:17,2,2.07,-73.97828674,40.75336838,1,-73.95717621,40.77165985,1,12,1,0.5,2,0,15.8,2/1/16,2/1/16 0:00,0.01,44,59
2,3/6/16 14:11,3/6/16 14:36,1,14.23,-73.78186035,40.64474869,1,-73.94348145,40.591362,2,39.5,0,0.5,0,0,40.3,3/6/16,3/6/16 0:00,0,32,44
1,1/2/16 20:21,1/2/16 20:29,1,2.1,-73.96999359,40.76023483,1,-73.98778534,40.73535919,1,8,0.5,0.5,2.5,0,11.8,1/2/16,1/2/16 0:00,0,32,40
1,1/4/16 23:04,1/4/16 23:09,3,0.9,-73.98448944,40.72175217,1,-73.98707581,40.72938156,2,5.5,0.5,0.5,0,0,6.8,1/4/16,1/4/16 0:00,0,14,36
1,1/1/16 18:23,1/1/16 18:41,1,5.2,-74.01456451,40.70476532,1,-73.98184967,40.76540756,2,18,0,0.5,0,0,18.8,1/1/16,1/1/16 0:00,0,34,42
2,2/5/16 12:56,2/5/16 13:18,1,3.07,-73.99179077,40.74980164,1,-73.9786911,40.78322983,1,16.5,0,0.5,3.46,0,20.76,2/5/16,2/5/16 0:00,0.53,31,44
